COUNTY,Year,Annum Mean NO2 Concentration
Alexandria City,1994,44.952777777777776
Alexandria City,1995,43.464285714285715
Alexandria City,1996,43.5975975975976
Alexandria City,1997,43.71671388101983
Alexandria City,1998,45.93611111111111
Alexandria City,1999,41.85635359116022
Alexandria City,2000,37.275956284153004
Alexandria City,2001,38.27624309392265
Alexandria City,2002,40.54782608695652
Alexandria City,2003,37.8132183908046
Alexandria City,2004,38.31652661064426
Alexandria City,2005,39.24149659863946
Alexandria City,2006,33.33101045296167
Alexandria City,2007,32.427083333333336
Alexandria City,2008,29.6
Alexandria City,2009,28.77777777777778
Alexandria City,2010,30.383480825958703
Alexandria City,2011,25.75524861878453
Alexandria City,2012,26.258543417366944
Alexandria City,2013,27.442857142857147
Alexandria City,2014,26.27110266159696
Alexandria City,2015,26.758974358974356
Alexandria City,2016,34.1
Arlington,1994,43.11602209944751
Arlington,1995,41.35014005602241
Arlington,1996,43.05337078651685
Arlington,1997,43.168458781362006
Arlington,1998,45.16167664670659
Arlington,1999,43.605633802816904
Arlington,2000,38.94117647058823
Arlington,2001,38.357798165137616
Arlington,2002,38.735955056179776
Arlington,2003,42.50837988826816
Arlington,2004,37.01685393258427
Arlington,2005,35.77710843373494
Arlington,2006,32.60511363636363
Arlington,2007,30.120111731843576
Arlington,2008,26.76685393258427
Arlington,2009,25.478021978021978
Arlington,2010,25.807242339832868
Arlington,2011,24.6956043956044
Arlington,2012,23.572950819672133
Arlington,2013,21.70938416422287
Arlington,2014,22.805621301775147
Arlington,2015,22.021551724137932
Arlington,2016,21.67513661202186
Arlington,2017,20.100550964187327
Arlington,2018,18.76096866096866
Arlington,2019,20.18061797752809
Arlington,2020,16.165564738292012
Arlington,2021,17.837845303867404
Arlington,2022,18.62611111111111
Arlington,2023,18.917514124293785
Caroline,1994,14.572222222222223
Caroline,1995,13.465181058495821
Caroline,1996,14.705263157894738
Caroline,1997,13.834757834757834
Caroline,1998,19.4031007751938
Caroline,1999,18.27338129496403
Caroline,2000,19.78723404255319
Caroline,2001,13.09322033898305
Caroline,2002,12.681208053691275
Caroline,2004,7.732142857142857
Caroline,2007,7.206521739130435
Caroline,2008,5.98876404494382
Caroline,2009,5.119565217391305
Caroline,2010,5.447826086956522
Caroline,2011,5.039285714285715
Caroline,2012,5.0097826086956525
Charles,1994,31.34733893557423
Charles,1995,28.914529914529915
Charles,1996,27.633053221288517
Charles,1997,29.268493150684932
Charles,1998,28.67042253521127
Charles,1999,26.69142857142857
Charles,2000,25.802816901408452
Charles,2001,26.54341736694678
Charles,2002,27.497175141242938
Charles,2003,23.456375838926174
Charles,2004,25.580459770114942
Charles,2005,22.369014084507043
Charles,2006,24.83943661971831
Charles,2007,21.107142857142858
Charles,2008,19.40934065934066
Charles,2009,16.747222222222224
Charles,2010,17.057260273972602
Charles,2011,19.387931034482758
Charles,2012,15.385793871866296
Charles,2013,13.97915407854985
Charles,2014,14.135588235294119
Charles,2015,12.599127906976745
Charles,2016,11.488338192419825
Charles,2017,11.968539325842697
Charles,2018,10.795428571428571
Charles,2019,10.74551282051282
Charles,2020,8.66988950276243
Charles,2021,10.427397260273972
Charles,2022,9.774220963172805
Charles,2023,9.80958904109589
Fairfax,1994,36.026061057334324
Fairfax,1995,33.667337461300306
Fairfax,1996,34.18763358778626
Fairfax,1997,33.17628865979382
Fairfax,1998,33.899797570850204
Fairfax,1999,32.61356932153392
Fairfax,2000,30.736059479553905
Fairfax,2001,28.873257287705957
Fairfax,2002,27.28690476190476
Fairfax,2003,28.536214953271028
Fairfax,2004,27.62536302032914
Fairfax,2005,27.883447600391772
Fairfax,2006,24.6536312849162
Fairfax,2007,24.155204460966544
Fairfax,2008,22.225071225071225
Fairfax,2009,25.215686274509803
Fairfax,2016,26.697014925373136
Fairfax,2017,27.206611570247933
Fairfax,2018,26.2041782729805
Fairfax,2019,28.09178082191781
Fairfax,2020,25.537912087912087
Fairfax,2021,27.812921348314607
Fairfax,2022,27.93901098901099
Fairfax,2023,29.257534246575343
Hampton City,2010,11.842248062015505
Hampton City,2011,12.49013698630137
Hampton City,2012,11.790055248618785
Hampton City,2013,9.559214501510574
Hampton City,2014,9.671546961325967
Hampton City,2015,9.701101928374655
Hampton City,2016,8.580911680911681
Hampton City,2017,8.737260273972602
Hampton City,2018,8.278393351800554
Hampton City,2019,8.20939226519337
Hampton City,2020,6.886111111111111
Hampton City,2021,7.934722222222222
Hampton City,2022,7.483102493074792
Hampton City,2023,8.252602739726028
Henrico,2008,21.26356589147287
Henrico,2009,20.68945868945869
Henrico,2010,23.54986225895317
Henrico,2011,21.667514124293785
Henrico,2012,20.57442528735632
Henrico,2013,18.60394366197183
Henrico,2014,17.78358662613982
Henrico,2015,17.331955922865014
Henrico,2016,15.757704918032788
Henrico,2017,17.013793103448275
Henrico,2018,13.953846153846152
Henrico,2019,14.567359050445104
Henrico,2020,12.456160458452722
Henrico,2021,14.31811697574893
Henrico,2022,14.227164179104479
Henrico,2023,14.350280112044818
Loudoun,1998,26.673228346456693
Loudoun,1999,27.46005509641873
Loudoun,2000,24.8061797752809
Loudoun,2001,26.57734806629834
Loudoun,2002,25.843575418994412
Loudoun,2003,27.952247191011235
Loudoun,2004,26.872909698996654
Loudoun,2005,24.832807570977916
Loudoun,2006,24.44281524926686
Loudoun,2007,21.591954022988507
Loudoun,2008,18.36338028169014
Loudoun,2009,16.553977272727273
Loudoun,2010,16.746005509641872
Loudoun,2011,16.838356164383562
Loudoun,2012,16.199447513812153
Loudoun,2013,15.953972602739725
Loudoun,2014,15.89359756097561
Loudoun,2015,17.001742160278745
Loudoun,2016,15.345054945054946
Loudoun,2017,13.930684931506848
Loudoun,2018,13.160714285714286
Loudoun,2019,14.1340490797546
Loudoun,2020,11.46111111111111
Loudoun,2021,12.478571428571428
Loudoun,2022,13.06878453038674
Loudoun,2023,13.133791208791209
Newport News City,2009,24.52173913043478
Newport News City,2010,26.966666666666665
Norfolk City,1994,37.15469613259668
Norfolk City,1995,35.69637883008357
Norfolk City,1996,35.185792349726775
Norfolk City,1997,37.04657534246575
Norfolk City,1998,37.29041095890411
Norfolk City,1999,32.7590027700831
Norfolk City,2000,30.804945054945055
Norfolk City,2001,33.68055555555556
Norfolk City,2002,33.904225352112675
Norfolk City,2003,30.915730337078653
Norfolk City,2004,30.193989071038253
Norfolk City,2005,29.666666666666668
Norfolk City,2007,26.13157894736842
Norfolk City,2008,22.830601092896174
Norfolk City,2009,22.066666666666666
Norfolk City,2011,22.789173789173788
Norfolk City,2012,19.2120218579235
Norfolk City,2013,17.92044817927171
Norfolk City,2014,18.177534246575345
Norfolk City,2015,18.435593220338983
Norfolk City,2016,16.6875
Norfolk City,2017,17.056647398843932
Norfolk City,2018,15.976373626373626
Norfolk City,2019,17.794886363636365
Norfolk City,2020,15.92617079889807
Norfolk City,2021,17.29718309859155
Norfolk City,2022,16.993557422969186
Norfolk City,2023,17.121448467966577
Pittsylvania,2021,4.2208955223880595
Pittsylvania,2022,3.8884297520661155
Prince William,1994,20.6360153256705
Prince William,1995,22.986149584487535
Prince William,1996,22.40281690140845
Prince William,1997,21.225895316804408
Prince William,1998,26.073746312684367
Prince William,1999,23.363896848137536
Prince William,2000,18.91256830601093
Prince William,2001,22.06027397260274
Prince William,2002,21.64804469273743
Prince William,2003,22.517808219178082
Prince William,2004,19.894150417827298
Prince William,2005,19.28857142857143
Prince William,2006,16.592797783933516
Prince William,2007,15.25227963525836
Prince William,2008,13.383480825958703
Prince William,2009,11.735537190082646
Prince William,2010,11.325479452054795
Prince William,2011,12.13
Prince William,2012,11.250279329608938
Prince William,2013,10.903361344537815
Prince William,2014,11.431955922865015
Prince William,2015,10.243956043956045
Prince William,2016,10.210655737704919
Prince William,2017,9.234615384615385
Prince William,2018,7.656156156156156
Prince William,2019,9.140384615384615
Prince William,2020,7.543922651933702
Prince William,2021,8.694397759103643
Prince William,2022,7.967142857142857
Prince William,2023,8.321643835616438
Richmond City,1994,42.0919540229885
Richmond City,1995,41.324022346368714
Richmond City,1996,39.7752808988764
Richmond City,1997,42.44871794871795
Richmond City,1998,41.728125
Richmond City,1999,38.03621169916435
Richmond City,2000,34.464387464387464
Richmond City,2001,37.787114845938376
Richmond City,2002,36.5202492211838
Richmond City,2003,33.15186246418338
Richmond City,2004,30.552197802197803
Richmond City,2005,32.78550724637681
Richmond City,2006,33.83720930232558
Richmond City,2007,31.117142857142856
Richmond City,2008,26.62707182320442
Richmond City,2009,24.126373626373628
Richmond City,2010,26.335612535612533
Richmond City,2011,22.607142857142858
Richmond City,2012,23.349862258953166
Richmond City,2013,26.74673913043478
Richmond City,2014,25.811832061068703
Richmond City,2015,26.7378223495702
Richmond City,2016,23.756410256410255
Richmond City,2017,23.833428571428573
Richmond City,2018,22.556906077348067
Richmond City,2019,24.077903682719548
Richmond City,2020,22.42378223495702
Richmond City,2021,26.234277620396604
Richmond City,2022,25.664187327823694
Richmond City,2023,26.15232876712329
Roanoke,1994,28.378082191780823
Roanoke,1995,27.707988980716255
Roanoke,1996,26.707650273224044
Roanoke,1997,27.600550964187327
Roanoke,1998,29.704109589041096
Roanoke,1999,27.227810650887573
Roanoke,2000,24.382513661202186
Roanoke,2001,28.336986301369862
Roanoke,2002,26.785123966942148
Roanoke,2003,25.684065934065934
Roanoke,2004,26.896428571428572
Roanoke,2005,25.742857142857144
Roanoke,2006,24.624657534246577
Roanoke,2007,21.843373493975903
Roanoke,2008,18.014367816091955
Roanoke,2009,16.041095890410958
Roanoke,2010,17.97932960893855
Roanoke,2011,16.89826589595376
Roanoke,2012,16.236065573770492
Roanoke,2013,13.321159420289856
Roanoke,2014,14.085046728971964
Roanoke,2015,12.406140350877193
Roanoke,2016,13.793681318681317
Roanoke,2017,12.703856749311294
Roanoke,2018,12.134065934065935
Roanoke,2019,13.349589041095891
Roanoke,2020,11.42534435261708
Roanoke,2021,13.292717086834735
Roanoke,2022,12.223351648351649
Roanoke,2023,12.5786301369863
Rockingham,2003,39.28395061728395
Rockingham,2004,28.992248062015506
Rockingham,2005,29.356164383561644
Rockingham,2006,26.407166123778502
Rockingham,2007,25.8
Rockingham,2008,23.788888888888888
Rockingham,2009,22.12465373961219
Rockingham,2010,24.7792243767313
Rockingham,2011,21.540000000000003
Rockingham,2012,21.02920353982301
Rockingham,2013,20.73232876712329
Rockingham,2014,21.51994382022472
Rockingham,2015,19.965459610027857
Rockingham,2016,19.271978021978022
Rockingham,2017,19.334615384615386
Rockingham,2018,18.711263736263735
Rockingham,2019,20.117261904761904
Rockingham,2020,18.690449438202247
Rockingham,2021,21.38756906077348
Rockingham,2022,20.50904109589041
Rockingham,2023,21.845479452054796
